author,category,content,datetime,keywords,title,url
雷光涵,生活,在菲律賓東方海面，有一熱帶低氣壓生成向西北西移動。有媒體以「有」等標題報導。臉書「天氣即時預報」粉專發文說，跨年假期沒有颱風要來，就算生成、離台灣也有1千公里以上，而且12月颱風生成十分正常。天氣小編在臉書整理一些網友疑惑：1.跨年假期，有颱風要來？-沒有。就算颱風生成(若生成，為今年第30號颱風)，距離台灣也都有1000公里以上。雖然颱風不侵襲，但將引來水氣，使跨年「各地容易有雨」，有安排活動要有下雨的心理準備。2.12月了，怎麼還有颱風生成？-這非常正常。12月生成颱風的數量，比「1、2、3、4、5」月都還多。雖然台灣或北方國家已經很冷，但南方的海域仍然「熱情如火」，因此有颱風生成是非常正常。只是，這時候的大氣環境「不適合」把颱風引向台灣，我們才會感覺很奇特。此外，每年西北太平洋最少颱風生成的月份，為2月。3.那，跨年(31日~1日)的天氣呢？-會冷、風大，而且會下雨。冷、風：周四冷氣團開始，一直會冷到明年元旦，各地風力也都不小。雨：周日(30日)~元旦(1日)，全台下雨機會高，濕濕冷冷的感覺。 ,2018-12-25 14:09,,不要嚇自己 天氣小編：跨年沒颱風要來 12月颱也很常見,https://udn.com/news/story/7266/3557014
吳姿賢,生活, 中央氣象局副局長鄭明典在表示，非氣象專業出身的朋友看到強颱山竹影像，多數反應是「好美！」強颱有一種吸引人的美，很多網路上的同好都是因為強颱的印象而迷上氣象。「強颱破壞力極強，很危險，要小心！」天氣風險公司氣象主播賴忠瑋在臉書「氣象主播賴忠瑋」表示，強烈山竹已經在關島當地造成相當明顯的風雨，目前正逐漸朝台灣東南方海面移動。雖然過去兩天的預報路徑有略往南偏，相對較偏離台灣，可能從菲律賓呂宋島的北側近海通過，不過仍然和台灣很近，而且還有變化的空間，預計周末可能為東半部帶來顯著的雨勢。山竹颱風雖然已經是強烈颱風，不過仍在不斷增強，賴忠瑋說，目前中心最大風速已經高達每秒55公尺，相當於每小時198公里，中心最大陣風也高達每秒鐘68公尺，相當於時速245公里左右，七級暴風半徑擴增到280公里，而且颱風眼清晰可見，結構扎實完整，是一個相當強、而且範圍很大的颱風。預計未來24小時還會經過菲律賓東方海面的暖水區，將有助增強或維持，得特別提高警覺。目前中央氣象局及其他各國氣象單位的預報路徑都相當一致，預計山竹颱風可能從菲律賓呂宋島的北側近海，往西通過巴士海峽。賴忠瑋指出，預報路徑往南修的最主要原因，是太平洋高壓持續強勢。不過中間也仍有變數，如果明後兩天太平洋高壓稍微減弱，也不排除山竹颱風還有北偏的可能，畢竟氣象上對太平洋高壓的掌握度較低，變數較大，得多加留意，這也是明後兩天要觀察的重點。賴忠瑋說，若依照目前的預報路徑，台灣剛好在暴風圈的影響邊緣，不過若再考量路徑預報的誤差範圍，其實中部以南和東南部都還是有被暴風圈籠罩的風險。就算山竹沒有直接影響台灣，外圍環流仍然可能在周五開始為台灣東半部帶來局部陣雨，也將出現長浪。周六至周日上半天，將可能為東半部和南部的屏東帶來相當顯著的雨勢，南部和東南部海面也容易出現明顯風浪，要特別小心。至於今天台灣的天氣，大致上算穩定，不過北部和東北部要留意可能受到北方鋒面尾巴的影響，而有局部短暫陣雨，中午過後則要留意局部午後雨。賴忠瑋說，中南部和東部大致上穩定，也是要留意午後雷陣雨。預計穩定的天氣可以持續到周五，周末兩天的天氣，就要視山竹颱風的路徑而定。氣象局說，今天至周五白天各地大多為多雲到晴，僅東半部地區有局部短暫陣雨，午後其他地區有局部短暫雷陣雨。周五晚起至周日山竹颱風或其外圍環流影響，東半部地區及恆春半島有陣雨或雷雨，其他地區有局部短暫陣雨或雷雨。  ,2018-09-12 07:52,,強颱山竹結構完整颱風眼清晰 恐持續增強,https://udn.com/news/story/7266/3362500
雷光涵,生活,中央大學大氣科學系兼任副教授在「三立準氣象·老大洩天機」專欄說，最新歐洲模式及美國（GFS）模式皆模擬出未來一周的末期，有熱帶擾動發展的跡象，西北太平洋在2月分本來就有發生的機率，只是它不會影響台灣。吳德榮表示，2月雖從未有颱風靠近台灣，但在西北太平洋還是有颱風生成的機率，大約0.2個／年，即平均每10年約2個。最新歐洲模式及美國模式的模擬，雖然在熱帶擾動發展的時間、位置及強度都有差異；但屆時若有颱風形成，也不必太過驚訝。他說，2014年西北太平洋還曾發生過「月月有颱風」的記錄。台灣天氣方面，吳德榮表示今、明（16、17日）兩天受東北季風影響，北海岸、北部山區及東半部轉為有局部雨，新竹以北雲量多，也有局部飄小雨的機率。冷空氣偏弱、低溫僅微幅下降，但北台灣整天陰涼，白天氣溫較昨日降幅近10度，要當心感冒。對中南影響很小。他提醒，由於背風面風力微弱，汙染物不易擴散、空氣品質不佳，出外活動應注意。吳德榮說，今氣溫北部16至20度、中部17至26度、南部17至29度、東部17至26度，空曠地區最低溫還會再低1、2度。下周一至周四（18至21日）氣溫回升，又轉為舒適微熱的天氣。下周五（22日）另一波東北季風南下，迎風面有局部雨，冷空氣亦偏弱，北台灣再轉濕涼，其他地區氣溫變化不大。中央氣象局指出，今天（16日）受到東北季風增強影響，迎風面水氣逐漸增多，桃園以北及宜蘭將轉為有局部短暫雨的天氣，隨著時間愈晚雨區的範圍會愈廣，其中基隆北海岸降雨較為持續，花蓮、台東也會有局部短暫降雨；至於新竹以南仍維持多雲到晴。溫度方面，清晨各地偏涼，低溫約16至20度，白天北台灣高溫和昨天相比將明顯下降，約只有18到21度，整天都是濕涼的天氣型態，其他地方降幅不多，高溫仍有24到30度，中南部日夜溫差仍大。 ,2019-02-16 08:00,,下周西北太平洋恐有颱風生成 吳德榮：不影響台灣,https://udn.com/news/story/7266/3647337
董俞佳,生活,今天下午2點正式增強為強烈颱風。指出，目前該颱風中心位置位於北緯 18.90 度、東經 130.40 度，以每小時13公里速度，向西北西進行。颱風中心氣壓 925 百帕，近中心最大風速每秒 51 公尺，瞬間之最大陣風每秒 63 公尺，七級風半徑 250 公里，十級風半徑 100 公里。氣象局預報員張承傳表示，潭美潭風不僅強度增強、暴風半徑也擴大，不過，其路徑往北修，若維持這個路徑對台灣的影響相對減小，不過，仍要視明後兩天的路徑是否有改變，目前預估周五至周日仍是影響最劇烈的時間點，預計北部、東半部會受其外圍環流影響，至於影響程度多寡，還要再視颱風路徑觀測。【中央社╱台北24日電】中央氣象局預報員張承傳今天表示，今年第24號潭美颱風已經在下午2時由中颱增強為強颱，28日起潭美可能影響台灣天氣，不排除侵台可能性。張承傳說，今年第24號潭美颱風已經在下午2時增強為強颱，中心位在鵝鑾鼻東南東方約1180公里海面上，以西北西方向持續往琉球南方海面移動，25、26日颱風將進入導引氣流較弱區域而減速，不排除強度有再增強趨勢。至於是否會影響台灣天氣，他說，明後天將是關鍵期，28日起潭美可能影響台灣天氣，但影響的程度仍有相當大的變數，不排除侵台，提醒民眾持續留意氣象局發布的最新颱風動態。 ,2018-09-24 15:25,,增強了！潭美颱風升級強颱,https://udn.com/news/story/7266/3384578
董俞佳,生活,中央發布大雨特報，西南風逐漸增強，今天嘉義以南地區有局部大雨發生的機率，注意瞬間大雨、雷擊及強陣風。中央大學大氣科學系兼任副教授今天在「三立準氣象．老大洩天機」專欄表示，木恩颱風將在中越邊境登陸、減弱，對台灣本無影響。而其所附隨的季風低壓環流，輸送暖濕、不穩定的大氣至台灣附近，才是造成多日降雨的關鍵。他表示，今天受季風低壓環流的西南風影響，西南部有局部陣雨或雷雨，其他地區偶有局部短暫陣雨；西半部午後亦有局部陣雨或雷雨；其中有劇烈天氣(雷擊、強風、瞬間強降雨)發生的機率，要持續注意氣象局的特報。白天未降雨時，天氣悶熱；北部氣溫約在25至35度、中部24至34度、南部23至33度、東部24至34度。他說，明天起至下周三台灣附近盛行西南風，挾帶南海輸送而來的低層水氣，天氣不穩定；迎風面的西南部，因地形抬升，有局部陣雨或雷雨；午後對流發展，亦有局部雷陣雨。期間仍不排除劇烈天氣的發生，要注意氣象局的特報。大氣持續偏暖，白天未降雨時、天氣悶熱。 ,2019-07-04 07:22,,木恩颱風附隨的季風低壓環流 吳德榮：多日降雨的關鍵,https://udn.com/news/story/7266/3908723
吳姿賢,生活, 原位於關島西南方海面的熱帶性低氣壓，於今天下午2時發展為輕度康芮，編號第25號（國際命名KONG－REY），目前距台灣仍有2500多公里，暫對台灣天氣無影響，預測將朝琉球附近海面前進，後續仍有不確定性需密切觀察。今年第25號颱風康芮今天下午2時生成。中央說，預估康芮下周三抵達琉球東南方海面，之後路徑尚須觀察，可能在遠洋就會北轉，對台灣影響較低，也可能靠近台灣時才北轉，如此將帶來大量水氣，氣象局將密切觀察。氣象局資料顯示，輕度颱風康芮中心位置位於北緯12.30度、東經142.60度，以每小時24公里速度，向西北西進行。颱風中心氣壓998百帕，近中心最大風速每秒18公尺，瞬間最大陣風每秒25公尺，七級風半徑100公里。氣象局預估，康芮未來至少增強到中颱等級以上。預報員王品翔說，康芮下周三開始接近台灣琉球東南方海面，帶來豐沛水氣，加上東北風增強，北部、東半部將轉成短暫陣雨天氣，會有明顯降雨。王品翔說，目前各國模式對康芮路徑仍有分歧，有可能類似颱風，離台灣有一定距離時就北轉，對台灣影響程度較低。也有模式預測康芮會先靠近台灣才北轉，若進而跟東北風產生共伴效應，台灣屆時將出現更大雨勢，但時間尚早仍有變數。而今天上午中央大學大氣科學系兼任副教授吳德榮在「三立準氣象·老大洩天機」專欄表示，當第25個颱風生成，可確定今年是1994年後，1至9月最多颱風的一年。天氣風險公司臉書「天氣風險 WeatherRisk」表示，康芮颱風和潭美一樣，模式對秋颱的掌握沒這麼穩定，是否會直接影響台灣，目前變數還是很高，下周再觀察、判斷。另外，中度颱風潭美早上8時位於台北東方540公里海面上，今天將逐漸加速往琉球群島、日本方向前進，規畫前往當地的朋友多留意航班資訊。氣象局說，潭美雖然遠離，但下周一前北部、東半部、綠島、蘭嶼、恆春半島及馬祖沿海仍有長浪發生的機率，其他地區風浪亦大，浪高仍有3至5米，非必要請避免前往海邊活動。 ,2018-09-29 15:50,,第25號颱風康芮生成！ 路徑可能類似潭美颱風,https://udn.com/news/story/7266/3394287
雷光涵,生活,在菲律賓東方海面，有一熱帶低氣壓生成向西北西移動。有媒體以「有颱風」等標題報導。臉書「天氣即時預報」粉專發文說，跨年假期沒有颱風要來，就算生成、離台灣也有1千公里以上，而且12月颱風生成十分正常。天氣小編在臉書整理一些網友疑惑：就算颱風生成(若生成，為今年第30號颱風)，距離台灣也都有1000公里以上。雖然颱風不侵襲，但將引來水氣，使跨年「各地容易有雨」，有安排活動要有下雨的心理準備。12月生成颱風的數量，比「1、2、3、4、5」月都還多。雖然台灣或北方國家已經很冷，但南方的海域仍然「熱情如火」，因此有颱風生成是非常正常。只是，這時候的大氣環境「不適合」把颱風引向台灣，我們才會感覺很奇特。此外，每年西北太平洋最少颱風生成的月份，為2月。冷、風：周四冷氣團開始，一直會冷到明年，各地風力也都不小。雨：周日(30日)~元旦(1日)，全台下雨機會高，濕濕冷冷的感覺。 ,2018-12-25 17:00,,不要嚇自己 天氣小編：跨年沒颱風要來 12月颱也很常見,https://udn.com/news/story/7934/3557014
楊德宜,生活,中央大學大氣科學系兼任副教授吳德榮在「三立準氣象·老大洩天機」專欄表示，今天各地晴時多雲、白天舒適微熱、早晚涼；水氣略多，山區有局部短暫降雨的機率。各地高溫：北部約可達28度、中部升至29度、南部則升至32度左右、東部約在28度。明天北台灣白天氣溫稍降、中南部白天微熱，各地早晚偏涼；北海岸、東半部有局部短暫雨，西半部多雲時晴、山區亦有局部短暫雨的機率，今、明兩天中南部清晨及金馬容易起霧。他說，周五大陸逐漸南下，迎風面北部及東半部轉有局部雨，下午起北台灣氣溫明顯下降。周六、周日中部以北氣溫偏低、整天濕冷，沿海、空曠地區最將降至12、13度，應注意保暖；降雨範圍則擴大至中部、有較大雨勢，對南部的影響程度較輕微。下周一氣溫略升、北台灣仍濕冷；北台灣及東半部有局部雨。下周二天氣好轉、氣溫明顯回升；北海岸、東半部有局部短暫雨的機率。 蝴蝶已於今晨2時形成，他說，根據中央氣象局潛勢預測圖顯示，未來5天朝西北西移動，第5天不確定範圍擴大；至於5天後的路徑，最新歐洲(ECMWF)模式的50次的系集模擬大多的模擬路徑朝菲律賓、少部分向東北迴轉，及美國(GEFS)模式21次的系集模擬距台灣東側2000多公里遠，向北迴轉；皆與歷史資料所顯示的紀錄，從未有2月颱侵台相符合，因此，目前資料顯示其侵台機率是微乎其微的。氣象局說，明後兩天鋒面位於台灣北部海面，大氣環境較不穩定，明天白天雖然各地都有些局部短暫陣雨，不過降雨還不多，主要以午後在山區附近的機率較高，明晚到周五上半天預計將有一波明顯的水氣通過，西半部地區降雨機率提高，尤其中部以北雨勢會較為明顯，周五下半天後雨區將轉為以東半部及北部地區為主；周五白天之前各地舒適溫暖，早晚稍偏涼，而周五晚上開始會有一波明顯的冷空氣南下，強度在東北季風或大陸冷氣團的等級，北部及東北部天氣轉冷。周六、周日東北季風或大陸冷氣團影響，北部及東北部天氣偏冷，夜晚清晨低溫將下探13到15度，白天高溫也只有16到19度左右，其他地方則是早晚偏冷，低溫約16到18度；迎風面的北部及東半部地區有局部短暫雨，其他地區雲量偏多。 ,2019-02-20 07:24,,蝴蝶颱風今天凌晨形成 吳德榮：侵台機率微乎其微,https://udn.com/news/story/7266/3653753
,生活,中央今天觀測，今年第28號萬宜晚間形成，對台灣不會有影響，另外，位在菲律賓附近的熱帶性低氣壓不排除在明天發展為第29號颱風天兔。今年第28號颱風萬宜今天晚間形成，中央氣象局表示，萬宜颱風目前位在關島附近，距離台灣約4000公里，未來將朝西北西方向移動，不會影響台灣天氣。至於另一個位在菲律賓附近的熱帶性低氣壓也可能在明天發展為今年第29號颱風天兔，氣象局表示，未來颱風若形成不會直接影響台灣，但由於持續朝南海移動，外圍水氣不排除影響台灣天氣，氣象局正持續觀察。 ,2018-11-20 22:29,,萬宜颱風形成 不影響台灣天氣,https://udn.com/news/story/7266/3492264%3Ffrom%3Dudn-relatednews_ch2
張江寧,生活,政府於三日取消所有飛往熱門觀光地點蘇梅島的航班，封鎖海灘度假村，撤離離岸鑽井平台工作人員，因為輕度「帕布」（Pabuk）將侵襲當地，成為近30年來第一個襲擊泰國南部的颱風。「帕布」最高風速每小時65公里，預計四日登陸泰國南部，登陸前就已帶來狂風巨浪。曼谷航空停飛所有往返蘇梅島的航班，可能讓部分遊客受困當地。媒體指出，往返蘇梅島的渡輪也全都停駛。泰國對數個省分發出豪雨和強風警告，包括觀光熱門地點蘇美島、普吉島和喀比。當地部分飯店業者表示，一些遊客已提早退房，飯店也對颱風來襲做好準備。蘇梅島查汶海灘盧布德卡飯店的經理說：「一早我們就備好了沙包、保護好玻璃窗，準備好急救包、手電筒、飲用水和飯店發電機用的燃油。其它飯店業者也做好了相關準備。」泰國國家石油旗下的PTT勘探生產公司表示，他們將暫停在暹羅灣兩個泰國最大油氣田的探勘作業。 ,2019-01-03 22:31,,泰國南部30年來首見颱風 蘇梅島航班渡輪全停,https://udn.com/news/story/6811/3573365
雷光涵,生活,上周末嘉義、台南以北有明顯的降雨，氣象達人說，這波春雨和強烈蝴蝶沒有關係，因為距離實在太遠了。他指出，今天仍是東北風型的天氣，周二下半天開始逐步回溫，但周下又會變天。彭啟明在臉書發文說，周末的春雨終於在周日晚間逐漸地減弱，這波雨勢主要下在嘉義台南以北，累積雨量有50-90毫米的水準，不是很多，但對春耕或水利調節不無小補。周末的降雨，很多人問是否受到強烈颱風蝴蝶的影響。他指出，周末的確是典型的春雨特性，是非常難得的降雨，2號颱風蝴蝶也在周末創下北半球在2月分有颱風觀測紀錄史來最強的颱風，但距離台灣大約在東南東方2300公里的地方，實在是太遠，和春雨沒有相關。預期蝴蝶颱風往西北移動時，會進入較冷、大氣環流也不利發展的環境，很快會逐步消散。至於２月分有強颱，是否代表今年颱風對台灣的影響會很大？彭啟明指出，這個假設性問題不好回答，因為每個颱風都是單獨的個體，沒有一開始強，今年都會強的理由。他表示，但的確在的趨勢下，氣候統計上，有越來越多強颱發展的條件，長期來看是有這趨勢，破紀錄成為一種常態。彭啟明認為，如果沒有努力的面對暖化下的氣候變遷，就要把破紀錄當成一種「習慣」了。彭啟明說，今天北部、東半部還是較為陰沉偶陣雨，大致上逐漸緩和，清晨各地溫度維持在15-18度，北部今天回溫有限。周二下半天開始東北風減弱，將逐漸轉為偏東風到南風，明、後天回溫能較為明顯，有點涼但還不算冷。他指出，今天中南部可以到25-27度，明後天回升也較多。這兩天南北兩區域落差頗大，越往南大氣穩定，空氣品質也稍差。到周三時，天氣將明顯轉變。彭啟明說會大幅回溫轉晴，但周四下半天預期又有東北風南下，這波比較短暫，但北部、東北部仍會轉為陰沉偶陣雨，周五下半天再緩和，逐漸在周末開始轉偏南風。再下一波可能是周日到周一，又有東北風南下，近期這幾波的變化，都不是很大規模的系統影響，雖有降雨，可能都比不上周末這幾波從福建廣東東移發展的雲系。 ,2019-02-25 07:47,,二月強颱代表今年台灣颱風多？彭啟明這麼說,https://udn.com/news/story/7266/3663193
,生活, 根據中央統計資料，今年風調雨順，颱風過門而不入，16年來首次未發布海、陸颱風警報；不過，農業也因產量提升，價格下滑。台東緊鄰太平洋，往往颱風侵襲台灣，台東首當其衝，通常都是最早發布海上颱風警報的區域之一，今年即將結束，整年度未有颱風警報，上次是民國91年。根據中央氣象局網站資料，從1911年至2017年有365個颱風侵襲台灣地區，每年約有3至4個颱風侵襲，其中以8月最多，次為7月和9月，因此每年7至9月可說是台灣的颱風季。365個颱風中，有187個在台灣登陸，在台東市至成功鎮登陸的有28個，台東至恆春登陸的30個，因此百年來在台東境內登陸的颱風有58個之多。根據統計，近幾年侵襲台東的颱風，造成重大損失的有民國98年8月間的莫拉克颱風，為台東帶來慘重災情，包括2員警在內有7人失蹤，南迴鐵路、南迴公路流失，嘉蘭村51戶民宅被洪水吞噬，知本溫泉內則有金帥飯店和5商家倒塌。另一個重創台東的颱風是民國105年，超過17級陣風的強烈颱風直撲台東，台東就像被機關槍掃射過，巨樹連根拔起，滿目瘡痍，造成1死132傷。今年台東雖然零颱風侵襲，也為台東帶來另類損失，因風調雨順，農產品大豐收，鳳梨、白米都增加2成產量，也導致價格下滑，不過農民評估，颱風造成的損失還是比較大，「颱風不要來比較好」。,2018-12-31 17:21,,16年首見 台東今年沒有颱風警報,https://udn.com/news/story/7328/3567351
侯俐安,生活,中颱山竹目前位在台灣東方約2900公里，持續向西逼近台灣。中央中心主任呂國臣今天表示，目前美國、歐洲等各國預報，本周四前都是持續往西移動，但在周四、五通過東經130度附近時，會依高壓勢力減弱程度，有稍微偏北接近台灣的趨勢，各國預報開始分歧。氣象局表示，山竹目前為中度颱風，但未來通過路徑上風切偏小、海溫高，有利於增強至強烈颱風，颱風半徑也有擴大趨勢，預估颱風將朝台灣至菲律賓一帶移動，在本周六、日影響台灣最劇；目前氣象局預報山竹颱風較偏南，美國、歐洲預報影響範圍較大，部分預報路徑也不排除會侵襲台灣。氣象局表示，目前山竹颱風最新路徑以通過巴士海峽至東南部陸地機率最高，降雨以台灣東半部、恆春半島為主，若路徑偏至花蓮，北部、西半部影響將明顯增加，但目前研判機率較低。從歷史上相似個案的雨量來看，2013年強颱天兔生成後朝台灣東南部前進，後減弱為中颱遠離台灣，東台灣累積雨量最高達685毫米，東南部降下豪雨，部分地區淹水、道路坍方與交通中斷，農損達到1.9億元。若再往北偏一些，類似颱風可回顧2016年強颱莫蘭蒂，莫蘭蒂在關島西方形成後向西北西轉西北移動，颱風進入恆春東南東方海面後，暴風圈影響台灣東南部陸地及恆春半島，威脅台灣東部、中南部及澎湖金門，全台1人死亡、62人受傷，農損1億元。如果再往北偏並登陸，氣象局以1982年的強颱安迪為例，當時安迪在台東北方約10公里處登陸，由台南北方出海，暴風圈籠罩全台，由於強度、位置與地形巧合，台北罕見出現持續性強風，全台各地都有嚴重災情，有多人傷亡失蹤。  ,2018-09-10 14:56,,3個過往颱風看山竹 偏南、偏北或登陸對台影響差在哪？,https://udn.com/news/story/7266/3359278
侯俐安,生活, 強颱瑪莉亞持續逼近，中央9日晚間11點半針對新北、基隆、台北、宜蘭發布陸上颱風警報，根據氣象局晚間11時最新資料顯示，瑪莉亞中心位置正在台北東南東方810公里，持續朝西北西方向移動，過去3小時強度稍微減弱，近中心最大風速從每秒55公尺降為53公尺，氣象局預估，暴風圈將在周二傍晚接觸陸地，北部、東北部將首當其衝感受颱風威力。氣象局預報員官欣平表示，將以「中颱上限、強颱下限」的強度侵襲台灣，路徑仍會從台灣北部海域通過，周二上午北部、東北部將有間歇性降雨，還不會感受到明顯的颱風威力，但明天晚上將感受到明顯風雨，最劇烈的影響是從周二深夜至周三清晨。過去兩天瑪莉亞颱風持續加速，影響台灣時間也略為提前，氣象局9日下午2時30分發布海上颱風警報，晚間11時瑪莉亞位在台北東南東方810公里海面上，以每小時30公里速度向西北西進行，近中心最大風速減弱為每秒53公尺，7級風半徑維持280公里，10級風半徑100公里。氣象局預報員張承傳提醒，瑪莉亞颱風中心約在明天深夜經過彭佳嶼附近，若颱風中心從基隆到彭佳嶼中間通過，路徑仍有機會接近標準「西北颱」。但更要留意的是，由於中心從海面通過，颱風結構不會受到陸地破壞，10級風半徑可能直接進入北部陸地，雖然颱風走得快，總雨量不會累積太多，但降雨時間集中、仍要提防瞬間強降雨，尤其大台北、淡水河口要特別留意，加上這段時間適逢大潮，西半部必須嚴防淹水及海水倒灌。氣象局簡任技正伍婉華表示，周二白天北部、東北部會斷續下雨，傍晚暴風圈開始影響後，北台灣風雨會明顯增強，其他各地風雨也會在下午到傍晚出現，北部、東北部會出現大雨到豪雨。伍婉華說表示，受到颱風接近沉降效應影響，周二花東高溫約35至36度，台東可能會有焚風。瑪莉亞離開後，不會引進西南氣流，周三下午風雨就會明顯緩和，周四天氣回穩，但會有南方水氣上來，東南部會有幾天不穩定的天氣。 ,2018-07-09 23:36,,稍減弱仍是強颱！ 瑪莉亞陸警發布 暴風圈周二掃北台,https://udn.com/news/story/7266/3243800
吳姿賢,生活, 中央表示，在菲律賓附近海面的熱帶性低氣壓，最快今天成為第29號「天兔」，周日將帶來水氣，間接影響台灣天氣，北部、東北部迎風面雨勢明顯，中南部地區也會飄雨。氣象局預報員顏增璽說，菲律賓海面熱帶性低氣壓進入南海海域中間時，將有機會形成天兔颱風，但依照路徑將碰觸到中南半島，結構會被破壞，強度頂多中颱或輕颱等級。顏增璽說，最快周日下半天台灣天氣將受其外圍環流影響，水氣飄到台灣上空，加上屆時吹東北風，北部及東半部將有雨勢，迎風面雨勢更明顯，中南部地區也會飄雨。至於第28號輕度颱風萬宜，今天凌晨2時距離颱灣東南東方約2830公里的海面上，持續朝西北西方向移動，對台灣沒有直接影響。氣象局說，今天東北季風增強影響，迎風面的北部及東半部地區有局部短暫雨，中南部山區也有零星短暫雨，出門記得攜帶雨具備用。溫度也會下降，清晨各地低溫約17至21度，白天氣溫在北部及東北部下降明顯，高溫僅20、21度，較昨天降幅達8、9度左右，花東約23、24度，中部約25至27度，南部仍可達27至30度左右，請留意溫度的變化，適時添加衣物。 ,2018-11-22 10:54,,颱風天兔最快今生成 周日帶雨來台灣,https://udn.com/news/story/7266/3494868
